,makanan,kalori,protein,lemak,karbohidrat,tag_makanan
392,"Pelolah manuk, masakan",219,19.7,13.6,4.4,non-vegan goreng ayam daging olahan
393,Pempek adaan,162,4.9,3.0,27.8,non-vegan goreng ikan olahan
394,Pempek belida,156,4.2,1.4,31.6,non-vegan goreng ikan olahan
395,Pempek kapal selam,152,4.5,2.3,28.2,non-vegan goreng ikan olahan
396,Pempek kelesan,211,12.3,6.1,26.6,non-vegan goreng ikan olahan
397,Pempek kulit,243,5.2,7.3,39.1,non-vegan goreng ikan olahan
398,Pempek telur,156,4.7,2.7,28.3,non-vegan goreng ikan olahan
399,Pempek tenggiri,173,7.2,1.2,33.4,non-vegan goreng ikan olahan
400,"Pencok lele, masakan",372,7.8,36.3,3.5,non-vegan goreng ikan olahan
401,"Penyu, serapah, masakan",174,13.1,12.2,2.2,non-vegan mentah
402,"Pepaya, segar",46,0.5,12.0,12.2,vegan buah
403,Pepes oncom ampas tahu,76,5.2,1.8,10.6,vegan kukus bijian fermentasi olahan
404,"Pinda, masakan",107,15.9,0.6,0.4,non-vegan bijian
405,"Pindang kenari, masakan",124,9.5,9.6,0.0,non-vegan rebus ikan olahan
406,"Pisang ambon, segar",108,1.0,0.8,24.3,vegan buah
407,"Pisang angleng (pisang ampyang), segar",68,1.3,0.2,17.2,vegan buah
408,"Pisang ayam, segar",120,1.1,0.2,26.8,vegan buah
409,"Pisang gapi, segar",127,2.1,0.3,31.1,vegan buah
410,"Pisang goroho, segar",115,1.9,0.2,27.9,vegan buah
411,"Pisang hijau, segar",117,2.0,0.3,28.9,vegan buah
412,"Pisang kayu, segar",100,1.4,0.5,23.6,vegan buah
413,"Pisang kepok, segar",109,0.8,0.5,26.3,vegan buah
414,"Pisang ketip, segar",145,1.1,0.3,34.5,vegan buah
415,"Pisang kidang, segar",96,1.0,0.2,22.5,vegan buah
416,"Pisang lampung, segar",99,1.3,0.2,25.6,vegan buah
417,"Pisang mas bali ampenan, segar",92,1.4,0.2,21.0,vegan buah
418,"Pisang mas bali kopang, segar",127,1.4,0.2,31.8,vegan buah
419,"Pisang mas, segar",127,1.4,0.2,33.6,vegan buah
420,"Pisang raja sereh, segar",108,1.3,0.3,28.2,vegan buah
421,"Pisang raja, segar",120,1.2,0.2,31.8,vegan buah
422,"Pisang rotan, segar",98,1.3,1.2,20.5,vegan buah
423,"Pisang talas, segar",113,1.2,0.2,26.7,vegan buah
424,Pisang tujuh bulan,94,0.6,0.2,22.5,vegan buah
425,"Pisang ua, segar",128,0.8,0.5,30.2,vegan buah
426,"Pisang uli, segar",134,1.1,0.5,35.5,vegan buah
427,Pulut,216,2.6,3.1,44.4,vegan ketan olahan
428,"Punai, daging, goreng",224,26.2,11.3,4.4,non-vegan olahan
429,Pundut nasi,104,1.9,4.1,15.1,vegan kukus nasi
430,Purundawa,25,1.5,0.5,3.6,vegan olahan
431,"Purut, segar",76,4.1,1.1,15.2,vegan buah
432,Putri hijau,189,5.4,2.1,37.2,vegan olahan
433,Putri selat,163,2.2,6.5,23.8,vegan olahan
434,Putu sopa,215,3.3,4.1,41.1,vegan olahan
435,"Rambutan binjai, segar",76,0.5,0.2,18.0,vegan buah
436,"Rambutan, segar",69,0.9,0.1,18.1,vegan buah
437,Rasbi (Beras Ubi),394,2.2,8.8,76.6,vegan umbi olahan
438,Rasi (Beras Singkong),350,0.9,0.4,85.7,vegan umbi olahan
439,"Rawon, masakan",60,5.4,2.5,4.0,non-vegan rebus daging olahan
440,Rempeyek kacang tanah,513,17.5,32.5,44.3,vegan goreng keripik olahan
441,Rempeyek kacang tolo,451,11.2,20.2,59.7,vegan goreng keripik olahan
442,Rempeyek kacang uci,497,17.0,27.6,50.8,vegan goreng keripik olahan
443,"Rendang sapi, masakan",193,22.6,7.9,7.8,non-vegan goreng daging olahan
444,Renggi goreng,471,4.7,21.8,64.1,vegan goreng olahan
445,Roti boong,341,5.5,16.2,43.3,vegan olahan
446,Roti putih,248,8.0,1.2,50.0,vegan olahan
447,Roti warna sawo matang,249,7.9,1.5,49.7,vegan olahan
448,Rujak cingur,153,11.3,8.4,8.0,vegan daging olahan
449,Rusip,110,11.5,2.0,11.7,non-vegan olahan
450,"RW, anjing, masakan",198,24.6,10.7,0.9,non-vegan olahan
451,"Saboko gurita, masakan",87,15.7,1.5,2.6,non-vegan olahan
452,"Saboko saltan, masakan",113,17.1,3.6,3.0,non-vegan olahan
453,"Saboko sardin, masakan",110,12.9,4.3,4.9,non-vegan olahan
454,Sagu forno,291,0.5,4.0,63.4,vegan olahan
455,Sagu Lemak (Kue Sagon),452,2.8,14.8,76.8,vegan olahan
456,Sagu manis,287,0.5,3.9,62.4,vegan olahan
457,Sagu Rendang,364,0.1,0.2,90.5,vegan olahan
458,Sagu sinole,354,0.8,8.3,68.9,vegan olahan
459,"Salak bali, segar",57,0.5,0.1,13.6,vegan buah
460,"Salak medan, segar",55,0.4,0.2,12.8,vegan buah
461,"Salak pondoh, segar",87,0.8,0.4,20.1,vegan buah
462,"Salak, segar",77,0.4,0.0,20.9,vegan buah
463,Santan (dengan air),122,2.0,10.0,7.6,non-vegan kelapa olahan
464,Santan murni,324,4.2,34.3,5.6,non-vegan kelapa olahan
465,"Sapi, abon",212,18.0,10.6,59.3,non-vegan mentah daging
466,"Sapi, abon, asli",358,14.6,16.1,38.6,non-vegan mentah daging
467,"Sapi, daging, asap",182,32.0,6.0,0.0,non-vegan mentah daging
468,"Sapi, daging, kornet",289,16.0,25.0,0.0,non-vegan mentah daging
469,"Sapi, daging, sosis (Worst)",448,14.5,42.3,2.3,non-vegan mentah daging
470,"Sapi, hati, sosis (liverworst)",274,16.0,22.0,3.0,non-vegan mentah daging
471,"Sapi, paru, goreng",268,23.9,12.7,14.5,non-vegan mentah daging
472,Sardines dalam kaleng,338,21.1,27.0,1.0,non-vegan ikan olahan
473,"Saridele, bubuk",344,30.0,20.0,43.0,vegan susu bijian olahan
474,Sarimuka,166,2.3,2.8,32.9,vegan kue olahan
475,Sate Bandeng,283,12.1,16.8,20.9,non-vegan bakar daging olahan
476,"Sate pusut, masakan",274,12.9,18.6,13.6,non-vegan bakar ikan olahan
477,"Sate, penyu, masakan",179,22.5,3.5,13.3,non-vegan bakar ikan olahan
478,"Sawo duren, segar",64,1.0,3.1,8.0,vegan buah
479,"Sawo kecik, segar",111,0.9,2.3,21.6,vegan buah
480,"Sawo Manila, segar",92,0.5,1.1,22.4,vegan buah
481,Sayur asem,29,0.7,0.6,5.0,vegan rebus sayur olahan
482,Sayur bunga pepaya,49,1.7,0.3,9.8,vegan rebus sayur olahan
483,Sayur garu,178,2.6,13.9,10.6,vegan rebus sayur olahan
484,Sayur kohu-kohu,133,7.3,6.6,11.2,vegan rebus sayur olahan
485,Sayur lebui,64,2.1,0.6,12.5,vegan rebus sayur olahan
486,Sayur lilin-terubuk,36,2.7,0.7,4.8,vegan rebus sayur olahan
487,Sayur ndusuk,49,3.1,2.5,3.6,vegan rebus sayur olahan
488,Sayur sop,27,1.3,2.0,1.0,vegan rebus sayur olahan
489,Sayur umbut kelapa,67,5.2,2.9,5.1,vegan rebus sayur olahan
490,Sayur umbut rotan,57,5.4,2.6,3.1,vegan rebus sayur olahan
491,"Selada, rebus",19,2.7,0.2,2.9,vegan sayur
492,"Semangka, segar",28,0.5,0.2,6.9,vegan buah
493,Semur jengkol,212,6.0,10.0,29.1,vegan sayur olahan
494,"Sepi, masakan",88,7.9,1.6,10.6,non-vegan olahan
495,Serimping talas kebumen,478,2.5,21.2,69.2,vegan olahan
496,Shabu-shabu,88,3.2,8.0,0.8,vegan olahan
497,"Sie reuboh, masakan",474,11.2,42.5,11.7,non-vegan olahan
498,"Sirsak, segar",65,1.0,0.3,16.3,vegan buah
499,"Sop buntut, masakan",71,7.5,3.6,2.2,non-vegan rebus daging olahan
500,"Sop daging sapi, masakan",49,5.8,0.5,5.3,non-vegan rebus daging olahan
501,"Sop kaki sapi, masakan",68,9.0,1.9,3.7,non-vegan rebus daging olahan
502,"Sop kambing, masakan",34,5.5,0.8,1.1,non-vegan rebus daging olahan
503,"Sop konro, masakan",71,7.4,2.6,4.5,non-vegan rebus daging olahan
504,"Sop saudara, masakan",89,7.2,5.0,3.9,non-vegan rebus daging olahan
505,"Soto bandung, masakan",42,3.9,1.7,2.8,non-vegan rebus daging olahan
506,"Soto banjar, masakan",110,2.9,9.5,3.2,non-vegan rebus daging olahan
507,"Soto betawi, masakan",135,2.5,8.8,11.5,non-vegan rebus daging olahan
508,"Soto jeroan, masakan",92,11.8,4.3,1.4,non-vegan rebus daging olahan
509,"Soto kudus, masakan",38,2.6,2.3,1.8,non-vegan rebus daging olahan
510,"Soto madura, masakan",60,3.5,4.5,1.3,non-vegan rebus daging olahan
511,"Soto padang, masakan",127,5.9,6.6,11.0,non-vegan rebus daging olahan
512,"Soto pekalongan, masakan",94,3.0,6.8,5.1,non-vegan rebus daging olahan
513,"Soto pemalang, masakan",75,3.6,5.2,3.5,non-vegan rebus daging olahan
514,"Soto sukaraja, masakan",80,3.2,3.5,9.0,non-vegan rebus daging olahan
515,"Soto sulung, masakan",86,2.3,8.5,0.0,non-vegan rebus daging olahan
516,"Sowa, segar",48,1.6,0.6,9.1,vegan olahan
517,Spaghetti,139,7.4,2.1,22.6,vegan mie olahan
518,Srikaya ketan,265,2.7,6.4,49.1,vegan kue olahan
519,"Srikaya, segar",63,1.1,0.5,13.9,vegan kue olahan
520,"Sukiyaki, masakan",75,5.6,0.4,12.2,non-vegan daging olahan
521,"Sukun muda, segar",119,1.4,0.2,28.1,vegan buah
522,"Sukun tua, segar",126,1.6,0.2,24.5,vegan buah
523,Sunduk lawang,181,1.9,1.3,32.4,vegan olahan
524,"Susu asam untuk bayi, bubuk",418,19.0,9.0,65.5,non-vegan susu instan olahan
525,Susu bubuk,513,24.6,30.0,36.2,non-vegan susu instan olahan
526,Susu kedelai,41,3.5,2.5,5.0,vegan susu bijian olahan
527,Susu kental manis,343,8.2,10.0,55.0,non-vegan susu instan olahan
528,Susu kental tak manis,138,7.0,7.9,9.9,non-vegan susu instan olahan
529,"Susu skim, bubuk",359,35.6,1.0,52.0,non-vegan susu instan olahan
530,"Susu skim, segar",36,3.5,0.1,5.1,non-vegan susu instan olahan
531,"Suweg, talas, kukus",93,1.5,0.1,21.9,vegan olahan
532,Suwir-suwir,347,0.5,0.9,84.2,vegan olahan
533,Tahu goreng,115,9.7,8.5,2.5,vegan goreng tahu olahan
534,Tahu telur,328,12.6,19.9,24.6,vegan tahu olahan
535,Takwa,148,13.8,8.5,4.0,vegan olahan
536,"Talas bogor, kukus",120,1.5,0.3,28.2,vegan olahan
537,"Taoge, goreng",88,3.2,2.1,14.0,vegan sayur
538,"Taoge, seduh",28,3.0,0.8,4.0,vegan sayur
539,Tapai beras,99,1.7,0.3,22.4,vegan fermentasi tapai oalahan
540,Tapai ketan hitam,166,3.8,1.0,34.4,vegan fermentasi ketan olahan
541,Tapai ketan putih,172,3.0,0.5,37.5,vegan fermentasi ketan olahan
542,Tapai singkong,169,1.4,0.3,40.2,vegan fermentasi singkong olahan
543,Tauco,184,11.4,5.5,22.2,vegan olahan
544,"Tauco cap beruang, cake",347,7.4,5.2,67.6,vegan olahan
545,"Tauco cap DAS, cake",358,7.5,4.3,70.4,vegan olahan
546,Tauco cap meong,159,7.4,4.9,21.3,vegan olahan
547,Tauji cap singa,277,9.1,4.7,49.6,vegan olahan
548,"Tedong pallu basa, masakan",83,10.4,3.4,2.8,non-vegan olahan
549,Tekwan,53,1.9,0.9,9.4,non-vegan olahan
550,"Telur ayam, dadar, masakan",251,16.3,19.4,1.4,non-vegan mentah telur
551,"Telur bebek, dadar, masakan",301,20.0,23.7,0.0,non-vegan mentah telur
552,Tempe bongkrek,119,4.4,3.5,18.3,vegan fermentasi bijian olahan
553,Tempe gembus P3G,73,5.7,1.3,10.3,vegan fermentasi bijian olahan
554,Tempe gembus yogya,76,6.8,0.7,10.6,vegan fermentasi bijian olahan
555,Tempe kacang babi,139,12.5,0.8,21.9,vegan fermentasi bijian olahan
556,Tempe kecipir (kacang belimbing),212,17.5,10.0,12.9,vegan fermentasi bijian olahan
557,Tempe kedelai + jagung,143,12.0,5.5,11.4,vegan fermentasi bijian olahan
558,"Tempe kedelai murni, goreng",350,24.5,26.6,10.4,vegan fermentasi bijian olahan
559,Tempe koro benguk,141,10.2,1.3,23.2,vegan fermentasi bijian olahan
560,Tempe lamtoro,128,10.7,0.5,21.3,vegan fermentasi bijian olahan
561,Tempe lamtoro var. gung dengan kulit,146,11.7,2.3,19.6,vegan fermentasi bijian olahan
562,Tempe lamtoro var. gung tanpa kulit,131,18.0,0.8,13.0,vegan fermentasi bijian olahan
563,Tempe pasar,150,14.0,7.7,9.1,vegan fermentasi bijian olahan
564,Tempe pasar goreng,336,20.0,28.0,7.8,vegan goreng fermentasi bijian olahan
565,"Teri balado, masakan",365,23.7,22.3,17.5,non-vegan goreng ikan olahan
566,"Terung panjang, kukus",23,1.8,0.1,4.9,vegan sayur
567,"Tikus rica, masakan",257,18.8,18.5,3.8,non-vegan olahan
568,Tinira ninahu nggaluku,33,1.2,1.3,4.1,vegan olahan
569,"Tinoransa, masakan",516,17.7,49.5,0.0,non-vegan olahan
570,Tipa-tipa,355,6.2,1.2,79.8,vegan olahan
571,Tiwul,353,2.4,1.1,83.4,vegan olahan
572,Tiwul Instan,395,3.2,8.5,76.5,vegan olahan
573,Tumis bandeng,189,11.3,15.7,0.6,non-vegan tumis ikan olahan
574,Tumis bayam bersantan,48,1.4,4.2,2.6,vegan tumis sayur olahan
575,Tumis keumamah,300,14.5,20.0,15.5,non-vegan tumis sayur olahan
576,Ubi Cilembu,186,1.9,0.2,44.3,vegan umbi
577,Ubi jalar tinta/ kemayung kukus,165,0.9,0.2,39.8,vegan umbi
578,"Ubi jalar, kuning, kukus",100,0.7,0.3,23.8,vegan umbi
579,"Ulat sagu, panggang",380,11.9,30.3,14.9,non-vegan mentah
580,Uli batatas,150,1.1,4.0,27.4,vegan olahan
581,"Vigus, segar",44,2.4,0.1,8.3,vegan olahan
582,Wajit camilan,303,6.3,2.7,63.3,vegan olahan
583,Waluh balamak,45,0.8,0.9,8.1,vegan olahan
584,"Wani, segar",74,0.8,0.3,17.1,vegan olahan
585,Widaran,424,1.3,10.7,80.7,vegan olahan
586,Wingko babat,355,3.2,15.1,51.4,vegan kue olahan
587,Woku ubi,143,3.1,7.8,15.0,vegan olahan
588,"Wortel, kukus",37,1.0,0.6,8.3,vegan sayur
589,"Wortel, rebus",28,0.7,0.5,6.3,vegan sayur
590,Yangko,254,3.0,1.1,58.1,vegan olahan
591,"Yoghurt, segar",52,3.3,2.5,4.0,non-vegan fermentasi susu olahan
