,makanan,kalori,protein,lemak,karbohidrat,tag_makanan
104,Cassavastick,460,0.8,18.7,17.2,vegan goreng singkong umbi
105,"Cempedak, segar",116,3.0,0.4,28.6,vegan buah
106,Ceriping getuk singkong,462,1.2,20.7,67.7,vegan goreng singkong olahan
107,"Chicken teriyaki, masakan",168,13.0,9.6,7.5,non-vegan goreng tumis ayam daging oalahan
108,"Chikiniku, masakan",143,9.8,1.4,22.8,non-vegan olahan
109,"Coto mangkasara, kuda, masakan",96,6.8,5.9,3.8,non-vegan rebus daging olahan
110,"Coto mangkasara, sapi, masakan",84,6.0,6.0,1.4,non-vegan rebus daging olahan
111,"Cucuru bayau, masakan",349,6.8,18.7,38.3,non-vegan kukus kue olahan
112,"Cumi-cumi, goreng",265,40.6,10.1,0.0,non-vegan mentah cumi-cumi daging olahan
113,"Daun kacang panjang, kukus",40,3.7,0.3,8.0,vegan daun
114,"Daun katuk, rebus",53,5.3,0.9,9.1,vegan daun
115,"Daun kelor, rebus",61,6.1,0.9,10.0,vegan daun
116,"Daun mengkudu, kukus",63,3.8,1.5,11.5,vegan daun
117,"Daun singkong, rebus",31,3.7,0.6,4.8,vegan daun
118,"Daun talas, rebus",27,1.3,0.2,5.9,vegan daun
119,"Daun ubi merah, kukus",56,3.1,0.3,13.0,vegan daun
120,"Dendeng belut, goreng",382,55.7,14.1,8.0,non-vegan goreng belut daging olahan
121,"Dendeng mujahir, goreng",598,74.3,26.9,9.2,non-vegan goreng ikan daging olahan
122,"Djibokum, masakan",248,10.0,2.3,40.9,non-vegan olahan
123,Dodol bali,298,3.7,2.1,65.9,vegan olahan
124,Dodol banjarmasin,368,2.6,8.6,70.0,vegan olahan
125,Dodol galamai,348,0.4,3.8,76.1,vegan olahan
126,Dodol kedondong,331,1.9,7.6,63.8,vegan olahan
127,Dodol manado,373,4.3,16.5,51.9,vegan olahan
128,"Duku, segar",63,1.0,0.2,16.1,vegan buah
